,Product Name,Price,Discount Percentage,Saved Amount,URL
0,Apple  AirPods Max (Lightning) ,1279.98,16,250.0,https://www.bestbuy.com/site/apple-airpods-max-lightning-silver/6373463.p?skuId=6373463
1,Bowers & Wilkins  Px7 S2e Wireless Noise Cancelling Over,1029.98,16,200.0,https://www.bestbuy.com/site/bowers-wilkins-px7-s2e-wireless-noise-cancelling-over-the-ear-headphones-anthracite-black/6562973.p?skuId=6562973
2,Sony  WH1000XM5 Wireless Noise,929.98,11,120.0,https://www.bestbuy.com/site/sony-wh1000xm5-wireless-noise-canceling-over-the-ear-headphones-black/6505727.p?skuId=6505727
3,Technics  Wireless Noise Cancelling Over,909.98,12,120.0,https://www.bestbuy.com/site/technics-wireless-noise-cancelling-over-ear-headphones-with-2-device-multipoint-connectivity-silver/6549409.p?skuId=6549409
4,Sony  WF1000XM4 True Wireless Noise Cancelling In,399.99,27,150.0,https://www.bestbuy.com/site/sony-wf1000xm4-true-wireless-noise-cancelling-in-ear-headphones-silver/6462205.p?skuId=6462205
5,JBL  Tour Pro 3 True Wireless Noise Cancelling Earbuds ,339.98,15,60.0,https://www.bestbuy.com/site/jbl-tour-pro-3-true-wireless-noise-cancelling-earbuds-black/6590287.p?skuId=6590287
6,JBL  Tour One M2 True Adaptive Noise Cancelling Headphones ,318.95,18,70.0,https://www.bestbuy.com/site/jbl-tour-one-m2-true-adaptive-noise-cancelling-headphones-black/6582670.p?skuId=6582670
7,Sony  WF1000XM5 True Wireless Noise Cancelling Earbuds ,324.99,19,74.00999999999999,https://www.bestbuy.com/site/sony-wf1000xm5-true-wireless-noise-cancelling-earbuds-black/6546812.p?skuId=6546812
8,Sennheiser  Momentum 3 True Wireless Noise Cancelling In,299.99,25,100.0,https://www.bestbuy.com/product/sennheiser-momentum-3-true-wireless-noise-cancelling-in-ear-headphones-black/6501340/openbox
9,Beats Studio Pro  Wireless Noise Cancelling Over,239.98,20,60.00000000000003,https://www.bestbuy.com/site/beats-studio-pro-wireless-noise-cancelling-over-the-ear-headphones-black/6501017.p?skuId=6501017
10,Sony  WH1000XM4 Wireless Noise,264.99,24,85.0,https://www.bestbuy.com/site/sony-wh1000xm4-wireless-noise-cancelling-over-the-ear-headphones-black/6408356.p?skuId=6408356
11,Jabra  Elite 10 Gen 2 Dolby Atmos Noise Cancelling Wireless In,199.99,29,80.0,https://www.bestbuy.com/site/jabra-elite-10-gen-2-dolby-atmos-noise-cancelling-wireless-in-ear-headphones-with-smart-case-titanium-black/6582106.p?skuId=6582106
12,Google  Pixel Buds Pro 2 ,199.0,13,30.0,https://www.bestbuy.com/site/google-pixel-buds-pro-2-wireless-earbuds-with-active-noise-cancellation-bluetooth-headphones-hazel/6589932.p?skuId=6589932
13,"Apple  AirPods Pro 2, Wireless Active Noise Cancelling Earbuds with Hearing Aid Feature ",189.99,24,60.0,https://www.bestbuy.com/site/apple-airpods-pro-2-wireless-active-noise-cancelling-earbuds-with-hearing-aid-feature-white/6447382.p?skuId=6447382
14,Bose  Geek Squad Certified Refurbished Ultra Open,189.99,36,109.00999999999999,https://www.bestbuy.com/site/bose-geek-squad-certified-refurbished-ultra-open-ear-true-wireless-open-earbuds-black/6577828.p?skuId=6577828
15,JBL  Live Beam 3 True Wireless Noise Cancelling Earbuds ,179.99,10,20.0,https://www.bestbuy.com/site/jbl-live-beam-3-true-wireless-noise-cancelling-earbuds-black/6582671.p?skuId=6582671
16,JBL  Live Buds 3 True Wireless Noise Cancelling Earbuds ,179.99,10,20.0,https://www.bestbuy.com/site/jbl-live-buds-3-true-wireless-noise-cancelling-earbuds-black/6582669.p?skuId=6582669
17,Sony  LinkBuds Open True Wireless Earbuds ,179.99,10,20.0,https://www.bestbuy.com/site/sony-linkbuds-open-true-wireless-earbuds-black/6594430.p?skuId=6594430
18,LG  Geek Squad Certified Refurbished TONE Free Fit TF8Q True Wireless Noise Cancelling In,179.99,10,20.0,https://www.bestbuy.com/site/lg-geek-squad-certified-refurbished-tone-free-fit-tf8q-true-wireless-noise-cancelling-in-ear-earbuds-black/6538380.p?skuId=6538380
19,Sony  LinkBuds Fit True Wireless Noise Canceling Earbuds ,179.0,10,20.99000000000001,https://www.bestbuy.com/site/sony-linkbuds-fit-true-wireless-noise-canceling-earbuds-black/6594431.p?skuId=6594431
20,Jabra  Elite 8 Active Gen 2 Military Grade Wireless In,169.99,26,60.0,https://www.bestbuy.com/site/jabra-elite-8-active-gen-2-military-grade-wireless-in-ear-headphones-with-smart-case-black/6582100.p?skuId=6582100
21,Beats  Solo³ Wireless On,169.99,15,30.0,https://www.bestbuy.com/site/beats-solo3-wireless-on-ear-headphones-rose-gold/6383126.p?skuId=6383126
22,Google  Refurbished Pixel Buds Pro 2 ,169.99,26,59.00999999999999,https://www.bestbuy.com/site/google-refurbished-pixel-buds-pro-2-wireless-earbuds-with-active-noise-cancellation-bluetooth-headphones-hazel/6605237.p?skuId=6605237
23,Beats Fit Pro True Wireless Noise Cancelling InEar Earbuds ,159.99,20,40.0,https://www.bestbuy.com/site/beats-fit-pro-true-wireless-noise-cancelling-in-ear-earbuds-black/6397391.p?skuId=6397391
24,Apple  Geek Squad Certified Refurbished AirPods Pro (2nd generation) with MagSafe Case (USB‑C) ,159.99,36,90.0,https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-airpods-pro-2nd-generation-with-magsafe-case-usbc-white/6562127.p?skuId=6562127
25,Marshall  Motif II A.N.C. True Wireless Noise Cancelling Earbuds ,157.99,21,42.0,https://www.bestbuy.com/site/marshall-motif-ii-a-n-c-true-wireless-noise-cancelling-earbuds-black/6556931.p?skuId=6556931
26,Samsung  Geek Squad Certified Refurbished Galaxy Buds Pro True Wireless Earbud Headphones ,152.99,24,47.0,https://www.bestbuy.com/site/samsung-geek-squad-certified-refurbished-galaxy-buds-pro-true-wireless-earbud-headphones-white/6506956.p?skuId=6506956
27,Sony  ULT WEAR Wireless Noise Canceling Headphones ,149.99,25,50.0,https://www.bestbuy.com/site/sony-ult-wear-wireless-noise-canceling-headphones-black/6576179.p?skuId=6576179
28,Jabra  Elite 10 Dolby Atmos True Wireless In,149.99,40,100.0,https://www.bestbuy.com/site/jabra-elite-10-dolby-atmos-true-wireless-in-ear-heaphones-gloss-black/6553258.p?skuId=6553258
29,Samsung  Galaxy Buds3 Wireless Earbud Headphones ,149.99,17,30.0,https://www.bestbuy.com/site/samsung-galaxy-buds3-wireless-earbud-headphones-silver/6585611.p?skuId=6585611
